"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Min Fitness","Expected Max Population","Max Age","Max Breeding Age","Mutations","Modern"
"-50","0","1500","0.07","false","1.0","1500","85","85","1.25","false"
"1","43","2000","0.07","false","1.0","2000","85","85","1.25","false"
"44","200","4500","0.07","false","1.0","4500","85","85","1.25","false"
"201","410","4500","0.07","false","1.0","4500","85","85","1.25","false"
"411","430","1250","0.07","false","1.0","1250","85","85","1.25","false"
"431","500","1300","0.07","false","1.0","1300","85","85","1.25","false"
"501","750","1300","0.07","false","1.0","1300","85","85","1.25","false"
"751","950","1400","0.07","false","1.0","1400","85","85","1.25","false"
"951","1066","1500","0.07","false","1.0","1500","85","85","1.25","false"
"1067","1086","2000","0.07","false","1.0","2000","85","85","1.25","false"
"1087","1190","3700","0.07","false","1.0","3700","85","85","1.25","false"
"1191","1220","4800","0.07","false","1.0","4800","85","85","1.25","false"
"1221","1250","5000","0.07","false","1.0","5000","85","85","1.25","false"
"1251","1279","5300","0.07","false","1.0","5300","85","85","1.25","false"
"1280","1290","5700","0.07","false","1.0","5700","85","85","1.25","false"
"1291","1315","5600","0.07","false","1.0","5600","85","85","1.25","false"
"1316","1325","5000","0.07","false","1.0","5000","85","85","1.25","false"
"1326","1348","5700","0.07","false","1.0","5700","85","85","1.25","false"
"1349","1349","3000","0.07","true","0.625","3000","85","85","1.25","false"
"1350","1377","3000","0.07","false","0.625","3000","85","85","1.25","false"
"1378","1400","2500","0.07","false","0.625","2500","85","85","1.25","false"
"1401","1430","2400","0.07","false","0.625","2400","85","85","1.25","false"
"1431","1450","2300","0.07","false","0.625","2300","85","85","1.25","false"
"1451","1490","2600","0.07","false","0.625","2600","85","85","1.25","false"
"1491","1522","2800","0.07","false","0.625","2800","85","85","1.25","false"
"1523","1541","3400","0.35","false","0.625","3400","85","85","1.25","false"
"1542","1560","3800","0.35","false","0.625","3800","85","85","1.25","false"
"1561","1600","5000","0.31","false","0.625","5000","85","85","1.25","false"
"1601","1650","6300","0.29","false","0.625","6300","85","85","1.25","false"
"1651","1699","6200","0.26","false","0.625","6200","85","85","1.25","false"
"1700","1801","11300","0.25","false","0.625","11300","85","85","1.25","true"
"1802","1811","12500","0.28","false","0.625","12500","85","85","1.25","true"
"1812","1821","13400","0.28","false","0.625","13400","85","85","1.25","true"
"1822","1831","15800","0.26","false","0.625","15800","85","85","1.25","true"
"1832","1841","20200","0.25","false","0.625","20200","85","85","1.25","true"
"1842","1851","27400","0.22","false","0.625","27400","85","85","1.25","true"
"1852","1861","29000","0.25","false","0.625","29000","85","85","1.25","true"
"1862","1871","31500","0.22","false","0.625","31500","85","85","1.25","true"
"1872","1881","35000","0.21","false","0.625","35000","85","85","1.25","true"
"1882","1891","37800","0.19","false","0.625","37800","85","85","1.25","true"
"1892","1901","38200","0.18","false","0.625","38200","85","85","1.25","true"
"1902","1911","42100","0.13","false","0.625","42100","85","85","1.25","true"
"1912","1921","44000","0.14","false","0.625","44000","85","85","1.25","true"
"1922","1931","45000","0.12","false","0.625","45000","85","85","1.25","true"
"1932","1951","50200","0.07","false","0.625","50200","85","85","1.25","true"
"1952","1961","55900","0.09","false","0.625","55900","85","85","1.25","true"
"1962","1971","56300","0.1","false","0.625","56300","85","85","1.25","true"
"1972","1981","57400","0.07","false","0.625","57400","85","85","1.25","true"
"1982","1991","59300","0.1","false","0.625","59300","85","85","1.25","true"
"1992","2001","63200","0.09","false","0.625","63200","85","85","1.25","true"
"2002","2011","65600","0.09","false","0.625","65600","85","85","1.25","true"
"2012","2014","66270","0.09","false","0.625","66270","85","85","1.25","true"
"2015","2018","66440","0.09","false","0.625","66440","85","85","1.25","true"
"2019","2019","0","0.09","true","0.625","66440","85","85","1.25","true"
"2020","2050","0","0.07","false","0.79375","66440","85","85","1.25","true"
