Start Year,End Year,Kill Constant,Environment Capacity,Breeding Probability,Disease,Fitness Factor,Expected Max Population,Avg Capacity Factor,Avg Capacity Fitness
-50,0,1.066,1400000,0.6,false,0.085449,1400000,8.704398052927456,0.7437821092245981
1,43,1.066,2000000,0.6,false,0.085449,2000000,0.9545006027564163,0.08156112200493301
44,200,1.066,4400000,0.6,false,0.085449,4400000,0.8655907735114797,0.07396386600578243
201,410,1.066,3000000,0.6,false,0.085449,3000000,0.8211766227074225,0.07016872123372654
411,430,1.066,1200000,0.6,false,0.085449,1200000,0.8122899159663867,0.06940936102941177
431,500,1.066,1200000,0.6,false,0.085449,1200000,0.9409863945578234,0.08040634642857145
501,750,1.066,1200000,0.6,false,0.085449,1200000,0.9284380952380961,0.07933410680000007
751,950,1.066,1400000,0.6,false,0.085449,1400000,0.9206287878787872,0.07866680929545448
951,1066,1.066,1400000,0.6,false,0.085449,1400000,0.8695663531870429,0.07430357531347963
1067,1086,1.066,2000000,0.6,false,0.06408599999999999,2000000,3.751026751026752,0.24038830036630038
1087,1190,1.066,3600000,0.6,false,0.06408599999999999,3600000,1.1167987344670207,0.07157116369705348
1191,1220,1.066,4800000,0.6,false,0.06408599999999999,4800000,1.1010975733011001,0.07056493908257429
1221,1250,1.066,5000000,0.6,false,0.06408599999999999,5000000,1.0834392925067982,0.06943329049959066
1251,1279,1.066,5200000,0.6,false,0.06408599999999999,5200000,1.0350713847932478,0.06633358476586007
1280,1290,1.066,5600000,0.6,false,0.06408599999999999,5600000,1.0711329572199135,0.06864462669639537
1291,1315,1.066,5600000,0.6,false,0.06408599999999999,5600000,0.9996265505515783,0.06406206711864844
1316,1325,1.066,5000000,0.6,false,0.06408599999999999,5000000,0.9665071996968548,0.06193958039977263
1326,1348,1.066,5600000,0.6,false,0.06408599999999999,5600000,1.0802470050573174,0.06922870956610323
1349,1351,1.066,3000000,0.6,true,0.06408599999999999,3000000,0.9664502164502163,0.06193592857142855
1352,1377,1.066,3000000,0.6,false,0.06408599999999999,3000000,1.06144336432798,0.06802365944632291
1378,1400,1.066,2400000,0.6,false,0.06408599999999999,2400000,1.060397062443098,0.06795660614372837
1401,1430,1.066,2400000,0.6,false,0.06408599999999999,2400000,1.0659673659673656,0.06831358461538459
1431,1450,1.066,2200000,0.6,false,0.06408599999999999,2200000,1.0745299145299145,0.0688623241025641
1451,1490,1.066,2600000,0.6,false,0.06408599999999999,2600000,1.0791829004328999,0.06916051535714281
1491,1522,1.066,2800000,0.6,false,0.06408599999999999,2800000,1.0890570367132868,0.06979330925480769
1523,1541,1.066,3400000,0.6,false,0.06408599999999999,3400000,1.1258699633699631,0.07215250247252744
1542,1560,1.066,3800000,0.6,false,0.06408599999999999,3800000,1.0459666322669419,0.06703181759545923
1561,1600,1.066,5000000,0.6,false,0.06408599999999999,5000000,1.0348380431332376,0.06631863083223666
1601,1650,1.066,6200000,0.6,false,0.06408599999999999,6200000,1.0604659263192249,0.06796101935409384
1651,1700,1.066,6200000,0.6,false,0.06408599999999999,6200000,1.050520541297473,0.06732365940958984
1701,1801,1.066,11200000,0.6,false,0.06408599999999999,11200000,1.059907030735384,0.0679252019717078
1802,1811,1.066,12400000,0.6,false,0.06408599999999999,12400000,1.0063928380210068,0.06449569141741424
1812,1821,1.066,13400000,0.6,false,0.06408599999999999,13400000,1.0274229578321652,0.06584342767563213
1822,1831,1.066,15800000,0.6,false,0.06408599999999999,15800000,1.0452754113795304,0.06698752001366858
1832,1841,1.066,20200000,0.6,false,0.06408599999999999,20200000,1.0614512050084244,0.06802416192416988
1842,1851,1.066,27400000,0.6,false,0.06408599999999999,27400000,1.1054538967641552,0.07084411842802764
1852,1861,1.066,29000000,0.6,false,0.06408599999999999,29000000,1.0546010748383605,0.06758516448209116
1862,1871,1.066,31400000,0.6,false,0.06408599999999999,31400000,1.0219027595524355,0.06548966024867738
1872,1881,1.066,35000000,0.6,false,0.06408599999999999,35000000,1.029950310702279,0.06600539561166624
1882,1891,1.066,37800000,0.6,false,0.06408599999999999,37800000,1.0108811222126632,0.06478332759812072
1892,1901,1.066,38200000,0.6,false,0.06408599999999999,38200000,1.0224434804166584,0.06552431288598197
1902,1911,1.003,42000000,0.13,false,0.06408599999999999,42000000,1.0470546526001006,0.06710154446653004
1912,1921,1.003,44000000,0.13,false,0.06408599999999999,44000000,1.0038265718947037,0.06433122968644397
1922,1931,1.003,45000000,0.13,false,0.06408599999999999,45000000,0.9993021195457427,0.06404127563320845
1932,1941,1.003,50200000,0.13,false,0.06408599999999999,50200000,1.0806401852140215,0.06925390690962577
1942,1951,1.003,52800000,0.13,false,0.06408599999999999,52800000,1.054858246089927,0.06760164555891905
1952,1961,1.003,55800000,0.13,false,0.06408599999999999,55800000,1.0303303094927139,0.06602974821415004
1962,1971,1.003,56200000,0.13,false,0.06408599999999999,56200000,1.0082942618012063,0.0646175460617921
1972,1981,1.003,57400000,0.13,false,0.06408599999999999,57400000,1.0240547304305936,0.065627571454375
1982,1991,1.003,59200000,0.13,false,0.06408599999999999,59200000,1.0251306141650498,0.06569652053938137
1992,2001,1.003,63200000,0.13,false,0.06408599999999999,63200000,1.0517859529617823,0.06740475458150877
2002,2011,1.003,65600000,0.13,false,0.06408599999999999,65600000,1.0674946223077388,0.06841146036521374
2012,2015,1.003,66200000,0.13,false,0.06408599999999999,66200000,1.0179079457199185,0.06523364860940668
